ds,y
1960-12-12,
1961-01-12,
1962-01-12,
1963-12-12,
1964-12-12,
1965-12-12,
1966-12-12,
1967-12-12,
1968-12-12,
1969-12-12,
1970-12-12,
1971-12-12,451
1972-12-12,499
1973-12-12,555
1974-12-12,6050
1975-12-12,6515
1976-12-12,7220
1977-12-12,7902
1978-12-12,8603
1979-12-12,9417
1980-12-12,1017
1981-12-12,1022
1982-12-12,1056
1983-12-12,1112
1984-12-12,1209
1985-12-12,1283
1986-12-12,1355
1987-12-12,1369
1988-12-12,1420
1989-12-12,1450
1990-12-12,1470
1991-12-12,1489
1992-12-12,1494
1993-12-12,1538
1994-12-12,1568
1995-12-12,1634
1996-12-12,1687
1997-12-12,1762
1998-12-12,1808
1999-12-12,1832
2000-12-12,1897
2001-12-12,1748
2002-12-12,1807
2003-12-12,1882
2004-12-12,1956
2005-12-12,2016
2006-12-12,2072
2007-12-12,2168
2008-12-12,2230
2009-12-12,2197
2010-12-12,2374
2011-12-12,2431
2012-12-12,2502
2013-12-12,2569
2014-12-12,2620
2015-12-12,2280
2016-12-12,2240
2017-12-12,2250
2018-12-12,2270
2019-12-12,2290
2020-12-12,2240
2021-12-12,2320
